Program		INST_RETIRED.ANY	CPU_CLK_UNHALTED.THREAD	CPU_CLK_UNHALTED.REF_TSC	MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	DTLB_STORE_MISSES.MISS_CAUSES_A_WALK	ICACHE.HIT	ICACHE.MISSES	ITLB_MISSES.MISS_CAUSES_A_WALK	BR_INST_EXEC.ALL_BRANCHES	BR_MISP_EXEC.ALL_BRANCHES	BR_INST_RETIRED.ALL_BRANCHES	MEM_UOPS_RETIRED.STLB_MISS_LOADS	MEM_UOPS_RETIRED.STLB_MISS_STORES	MEM_UOPS_RETIRED.ALL_LOADS	MEM_UOPS_RETIRED.ALL_STORES	MEM_LOAD_UOPS_RETIRED.L1_HIT	MEM_LOAD_UOPS_RETIRED.L2_HIT	MEM_LOAD_UOPS_RETIRED.L3_HIT	MEM_LOAD_UOPS_RETIRED.L1_MISS	MEM_LOAD_UOPS_RETIRED.L2_MISS	MEM_LOAD_UOPS_RETIRED.L3_MISS	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB_LOAD_MISSES.STLB_HIT	DTLB_STORE_MISSES.WALK_COMPLETED	DTLB_STORE_MISSES.STLB_HIT	ITLB_MISSES.WALK_COMPLETED	ITLB_MISSES.STLB_HIT	Benign
ar_test		611098916647	464328696492	368744553116	2281254	0	25272037908	15600234	0	107516812728	4800072	106199989446	0	58801764	189144283716	81468122202	166872250308	6409392276	1098461160	7388621652	961603704	108603258	0	0	0	0	0	0	0
ar_test		598814898221	482298723447	379740569610	1440792	0	38388057582	14400216	0	104963174424	6000090	103475928156	13200396	1200036	184068276102	78624117936	163164244746	5652769578	1031833188	6516795498	843053934	136804104	0	0	0	0	0	0	0
ar_test		609880914820	462154693231	371136556704	1560858	0	25212037818	15600234	0	107969219514	6000090	106286391390	0	471614148	189036283554	81972122958	166344249516	6010380306	947197656	6900207000	862562124	58201746	0	0	0	0	0	0	0
ar_test		611250916875	462748694122	368178552267	11046072	0	25068037602	14400216	0	107704015536	6000090	106403994036	0	67802034	188664282996	81636122454	167220250830	5839375176	1520738442	6738802158	877268298	571817154	0	0	0	0	0	0	0
ar_test		613274919911	462798694197	367264550896	2641452	0	25104037656	14400216	600018	108463626930	4800072	107061608832	0	291608748	190236285354	82392123588	167664251496	6297188910	973308618	7236217080	914784048	37201116	0	0	0	0	0	0	0
ar_test		612252918378	464348696522	370434555651	1560858	0	25272037908	14400216	0	108016020216	6000090	106569597762	0	60001800	189312283968	81792122688	166716250074	6040981224	1474519038	6948808458	891074094	519615588	0	0	0	0	0	0	0
ar_test		610314915471	463836695754	369086553629	1200660	0	25296037944	13200198	600018	107735216004	4800072	106137588042	0	270008100	189300283950	81624122436	166788250182	6315189450	985613784	7268618052	929190096	32400972	0	0	0	0	0	0	0
ar_test		601190901785	467138700707	372278558417	17649702	0	26112039168	14400216	0	105770786538	4800072	104212744734	0	53401602	186096279144	79368119052	163332244998	6286988604	1143480060	7245217350	933691986	184805544	0	0	0	0	0	0	0
ar_test		599598899397	482216723324	378860568290	33858612	0	38436057654	15600234	0	105491182344	4800072	103490328480	2400072	45001350	183804275706	78624117936	162756244134	5606568192	1399487538	6460393806	837651666	490214706	0	0	0	0	0	0	0
ar_test		608470912705	462676694014	368272552408	1440792	0	24768037152	14400216	0	107942819118	4800072	105962384100	1800054	579617388	188220282330	81696122544	165444248166	5911977354	973908870	6818604552	884171196	67202016	0	0	0	0	0	0	0
